Objects
100
,,Global Angle base_module:base_module,,,,,,Global Angle fusion_base:fusion_base,,,,,,Global Angle lifted_angle:lifted_angle,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
111,0,0.011683,0.003874,0.000700,-54.941292,96.314255,15.636206,0.000695,0.001005,0.002414,-0.632551,-0.713351,1.008159,0.016114,-1.328576,-0.036421,7.629619,99.578407,78.438782
112,0,0.011690,0.003900,0.000645,-54.939758,96.312119,15.632348,0.000609,0.001053,0.002399,-0.625905,-0.712870,1.005962,0.019717,-1.328257,-0.034603,7.469378,99.587540,78.544189
113,0,0.011712,0.004005,0.000670,-54.943161,96.311493,15.627187,-0.000717,0.000471,0.002793,-0.640257,-0.823284,0.682983,0.019957,-1.328378,-0.034384,7.464533,99.584641,78.539413
114,0,0.011680,0.003853,0.000703,-54.944534,96.309845,15.629550,-0.000536,0.000354,0.002810,-0.647173,-0.829963,0.685165,0.020151,-1.328261,-0.034291,7.463594,99.586304,78.542427
115,0,0.011839,0.003842,0.000688,-54.940952,96.316422,15.634959,-0.000560,0.000360,0.002790,-0.642520,-0.821785,0.686778,0.019985,-1.328347,-0.034333,7.464333,99.587814,78.550613
116,0,0.011663,0.003860,0.000669,-54.941883,96.317123,15.639612,0.000543,0.001082,0.002449,-0.629645,-0.716574,1.009328,0.020091,-1.328331,-0.034334,7.469264,99.586555,78.550819
117,0,0.011684,0.003868,0.000595,-54.940464,96.313080,15.642897,-0.000746,0.000479,0.002785,-0.638908,-0.824678,0.689236,0.016131,-1.328594,-0.036384,7.633350,99.574837,78.449738
118,0,0.011680,0.003833,0.000659,-54.938137,96.314575,15.639989,-0.000590,0.000383,0.002805,-0.641849,-0.830021,0.690855,0.016247,-1.328535,-0.036410,7.635967,99.574425,78.451393
119,0,0.011791,0.003992,0.000657,-54.944992,96.313499,15.641395,0.000650,0.001025,0.002422,-0.631321,-0.716288,1.008377,0.020201,-1.328380,-0.034249,7.465395,99.586372,78.552208
120,0,0.011703,0.003937,0.000634,-54.944519,96.316864,15.638254,-0.000551,0.000316,0.002792,-0.641436,-0.826962,0.682784,0.020027,-1.328379,-0.034426,7.467927,99.589233,78.554947
121,0,0.011751,0.003808,0.000610,-54.946045,96.314262,15.642037,-0.000714,0.000469,0.002771,-0.643196,-0.825289,0.696214,0.020019,-1.328359,-0.034420,7.466784,99.585587,78.555214
122,0,0.011754,0.003984,0.000693,-54.941902,96.312927,15.646327,0.000686,0.001010,0.002432,-0.634319,-0.723305,1.020270,0.019822,-1.328310,-0.034588,7.466584,99.584770,78.561081
123,0,0.011753,0.003869,0.000687,-54.943932,96.312248,15.645603,-0.000628,0.000425,0.002821,-0.647062,-0.832368,0.699370,0.019900,-1.328197,-0.034437,7.458079,99.584236,78.566269
124,0,0.011784,0.003873,0.000630,-54.943718,96.312309,15.643334,0.000645,0.000992,0.002425,-0.633405,-0.716687,1.006897,0.019996,-1.328329,-0.034385,7.460969,99.584229,78.557327
125,0,0.011621,0.003870,0.000668,-54.941124,96.312515,15.636235,-0.000575,0.000417,0.002796,-0.642035,-0.825685,0.694454,0.019978,-1.328279,-0.034318,7.463099,99.586517,78.550209
126,0,0.011828,0.003890,0.000699,-54.942871,96.312965,15.625360,-0.000544,0.000350,0.002815,-0.645954,-0.833076,0.676788,0.019889,-1.328229,-0.034375,7.460660,99.584526,78.542488
127,0,0.011745,0.003899,0.000643,-54.945320,96.316101,15.628653,0.000617,0.001010,0.002422,-0.632085,-0.714421,0.995908,0.019941,-1.328209,-0.034463,7.466520,99.589050,78.540871
128,0,0.011762,0.004006,0.000721,-54.942276,96.311394,15.631301,-0.000682,0.000426,0.002821,-0.647412,-0.833395,0.678510,0.025875,-1.326332,-0.031689,7.359450,99.626350,78.630264
129,0,0.011759,0.003893,0.000667,-54.941566,96.315094,15.641559,0.000586,0.001062,0.002409,-0.628499,-0.717675,1.012316,0.019853,-1.328201,-0.034468,7.464286,99.589645,78.560349
130,0,0.011721,0.003899,0.000642,-54.941734,96.314850,15.651699,-0.000603,0.000393,0.002806,-0.643689,-0.831173,0.700983,0.019932,-1.328255,-0.034475,7.467151,99.587303,78.563347
