Objects
100
,,Global Angle base_module:base_module,,,,,,Global Angle fusion_base:fusion_base,,,,,,Global Angle lifted_angle:lifted_angle,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
97,0,0.003323,0.006793,0.003488,-54.970013,96.335884,15.545528,0.002057,0.001720,0.002754,-0.701662,-0.739091,1.351634,0.010581,-1.320545,-0.030334,8.289275,100.170563,78.117844
98,0,0.003171,0.006703,0.003320,-54.964813,96.344078,15.545572,0.002092,0.001675,0.002735,-0.701141,-0.735895,1.345435,0.007555,-1.319555,-0.032423,8.137067,100.182831,78.230209
99,0,0.003400,0.006748,0.003438,-54.961338,96.341156,15.541811,0.001757,0.001729,0.001250,-0.512866,-0.385106,1.305839,0.007446,-1.319538,-0.032465,8.140168,100.183281,78.225327
100,0,0.003199,0.006766,0.003460,-54.966087,96.338226,15.533651,0.002267,0.001584,0.002740,-0.701243,-0.740664,1.339112,0.007321,-1.319469,-0.032545,8.135893,100.180107,78.218925
101,0,0.003222,0.006967,0.003408,-54.969963,96.337578,15.529051,0.002188,0.001612,0.002782,-0.707175,-0.749289,1.327843,0.010548,-1.320556,-0.030415,8.288040,100.168434,78.097519
102,0,0.003312,0.006877,0.003420,-54.969936,96.334572,15.527136,0.002152,0.001640,0.002757,-0.703301,-0.744644,1.328429,0.007567,-1.319361,-0.032447,8.124226,100.179451,78.216087
103,0,0.003325,0.006727,0.003446,-54.973663,96.337898,15.534378,0.002119,0.001668,0.002727,-0.699693,-0.738310,1.336120,0.007554,-1.319283,-0.032452,8.117252,100.176445,78.222061
104,0,0.003242,0.006791,0.003383,-54.974968,96.335098,15.543741,0.002100,0.001725,0.002780,-0.707459,-0.747976,1.352715,0.010718,-1.320334,-0.030283,8.271637,100.165947,78.125587
105,0,0.003312,0.006573,0.003406,-54.975269,96.330788,15.553864,0.002764,0.002097,0.001747,-0.542208,-0.537519,1.538673,0.010872,-1.320297,-0.030263,8.271031,100.163330,78.137154
106,0,0.003200,0.006771,0.003389,-54.975452,96.332970,15.556048,0.002331,0.001544,0.002764,-0.709127,-0.748790,1.356697,0.007542,-1.319219,-0.032427,8.113291,100.175621,78.251129
107,0,0.003198,0.006744,0.003394,-54.978653,96.335373,15.558497,0.001685,0.001678,0.001267,-0.529273,-0.393332,1.300394,0.007468,-1.319289,-0.032518,8.115197,100.180412,78.250160
108,0,0.003320,0.006835,0.003414,-54.975353,96.341125,15.552180,0.001945,0.001787,0.002753,-0.707931,-0.743128,1.352553,0.010603,-1.320572,-0.030390,8.281705,100.169762,78.125473
109,0,0.003251,0.006682,0.003457,-54.976864,96.341949,15.552538,0.001883,0.001707,0.001241,-0.521667,-0.389932,1.332180,0.007370,-1.319531,-0.032524,8.125710,100.183067,78.237556
110,0,0.003219,0.006664,0.003346,-54.973175,96.336754,15.556114,0.001756,0.001761,0.001230,-0.515504,-0.384308,1.330120,0.007417,-1.319484,-0.032454,8.132231,100.179054,78.241966
111,0,0.003339,0.006822,0.003407,-54.971043,96.341080,15.548813,0.002077,0.001709,0.002778,-0.706551,-0.747260,1.352350,0.010644,-1.320672,-0.030310,8.292106,100.172310,78.119965
